date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate
01/01/2025,87411,grain,Cotton B.T.,કપાસ બી.ટી.,3300,1340,1500
01/01/2025,87412,grain,Wheat Lokvan,ઘઉં લોકવન,150,588,630
01/01/2025,87413,grain,Wheat Tukda,ઘઉં ટુકડા,750,603,664
01/01/2025,87414,grain,Jowar White,જુવાર સફેદ,410,750,853
01/01/2025,87415,grain,Jowar Yellow,જુવાર પીળી ,35,400,500
01/01/2025,87416,grain,Tuver,તુવેર,350,1000,1725
01/01/2025,87417,grain,Gram Yellow,ચણા પીળા,300,1000,1260
01/01/2025,87418,grain,Gram White,ચણા સફેદ,250,1400,2620
01/01/2025,87419,grain,Urad,અડદ,450,1050,1680
01/01/2025,87420,grain,Mung,મગ,350,1425,1900
01/01/2025,87421,grain,Val Deshi,વાલ દેશી,15,1000,1350
01/01/2025,87422,grain,Choli,ચોળી,90,1190,2366
01/01/2025,87423,grain,Math,મઠ,225,750,1180
01/01/2025,87424,grain,Kulthi,કળથી,30,925,1025
01/01/2025,87425,grain,Groundnut Big,મગફળી જાડી,0,920,1190
01/01/2025,87426,grain,Groundnut Small,મગફળી જીણી,0,950,1240
01/01/2025,87427,grain,Seasmum,તલી ,680,2080,2590
01/01/2025,87428,grain,Castor seed,એરંડા,150,1150,1222
01/01/2025,87429,grain,Thymol,અજમો,10,1381,2292
01/01/2025,87430,grain,Dil Seed,સુવા,2,1155,1295
01/01/2025,87431,grain,Soyabin,સોયાબીન,1400,800,840
01/01/2025,87432,grain,Groundnut-Fada,સીંગફાડા,940,1060,1295
01/01/2025,87433,grain,Sesmum-Black,કાળા તલ ,170,3420,4900
01/01/2025,87434,grain,Garlic,લસણ,350,1700,4050
01/01/2025,87435,grain,Corriander,ધાણા,50,1000,1511
01/01/2025,87436,grain,Chillies,મરચા સુકા ,150,1100,2695
01/01/2025,87437,grain,Dhani,ધાણી,40,1160,1560
01/01/2025,87438,grain,Variyali,વરીયાળી,160,1140,1612
01/01/2025,87439,grain,Cummin,જીરૂ,780,4150,4586
01/01/2025,87440,grain,Mustard,રાય,50,1030,1270
01/01/2025,87441,grain,Fenugreek,મેથી,50,950,1170
01/01/2025,87442,grain,Isabgul,ઇસબગુલ,10,1925,2025
01/01/2025,87443,grain,Mustard seed,રાયડો,150,980,1109
01/01/2025,87444,grain,Rajkoo Bee,રજકાનું બી ,4,3525,4125
01/01/2025,87445,grain,Guvar Bee,ગુવારનું બી,200,950,1007
02/01/2025,87481,grain,Cotton B.T.,કપાસ બી.ટી.,3100,1320,1495
02/01/2025,87482,grain,Wheat Lokvan,ઘઉં લોકવન,175,590,626
02/01/2025,87483,grain,Wheat Tukda,ઘઉં ટુકડા,1050,605,667
