date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate
02/01/2026,107337,grain,Cotton B.T.,કપાસ બી.ટી.,2600,1310,1567
02/01/2026,107338,grain,Wheat Lokvan,ઘઉં લોકવન,80,505,530
02/01/2026,107339,grain,Wheat Tukda,ઘઉં ટુકડા,700,510,606
02/01/2026,107340,grain,Bajri,બાજરી,34,300,400
02/01/2026,107341,grain,Tuver,તુવેર,220,930,1600
02/01/2026,107342,grain,Gram Yellow,ચણા પીળા,540,950,1190
02/01/2026,107343,grain,Gram White,ચણા સફેદ,460,1130,1870
02/01/2026,107344,grain,Urad,અડદ,300,850,1570
02/01/2026,107345,grain,Mung,મગ,600,1050,2072
02/01/2026,107346,grain,Val Deshi,વાલ દેશી,30,799,1012
02/01/2026,107347,grain,Choli,ચોળી,125,1050,1450
02/01/2026,107348,grain,Math,મઠ,0,1155,1975
02/01/2026,107349,grain,Peas,વટાણા,30,450,1450
02/01/2026,107350,grain,Rajma,રાજમા,60,300,1400
02/01/2026,107351,grain,Groundnut Big,મગફળી જાડી,0,1050,1380
02/01/2026,107352,grain,Groundnut Small,મગફળી જીણી,0,1100,1425
02/01/2026,107353,grain,Seasmum,તલી ,600,1715,2260
02/01/2026,107354,grain,Castor seed,એરંડા,540,1051,1254
02/01/2026,107355,grain,Thymol,અજમો,1,1645,1645
02/01/2026,107356,grain,Soyabin,સોયાબીન,1400,851,940
02/01/2026,107357,grain,Groundnut-Fada,સીંગફાડા,1500,900,1540
02/01/2026,107358,grain,Sesmum-Black,કાળા તલ ,140,3370,4950
02/01/2026,107359,grain,Garlic,લસણ,1120,1230,1825
02/01/2026,107360,grain,Corriander,ધાણા,200,1511,1960
02/01/2026,107361,grain,Chillies,મરચા સુકા ,7,1840,4300
02/01/2026,107362,grain,Dhani,ધાણી,50,1455,1975
02/01/2026,107363,grain,Variyali,વરીયાળી,30,1200,1500
02/01/2026,107364,grain,Cummin,જીરૂ,1720,3811,4136
02/01/2026,107365,grain,Mustard,રાય,40,1370,1750
02/01/2026,107366,grain,Fenugreek,મેથી,160,810,1351
02/01/2026,107367,grain,Isabgul,ઇસબગુલ,2,1000,2021
02/01/2026,107368,grain,Mustard seed,રાયડો,100,1070,1250
02/01/2026,107369,grain,Guvar Bee,ગુવારનું બી,100,1010,1125
03/01/2026,107406,grain,Cotton B.T.,કપાસ બી.ટી.,2500,1305,1570
03/01/2026,107407,grain,Wheat Lokvan,ઘઉં લોકવન,80,508,539
03/01/2026,107408,grain,Wheat Tukda,ઘઉં ટુકડા,980,510,601
03/01/2026,107409,grain,Bajri,બાજરી,10,321,363
03/01/2026,107410,grain,Maize,મકાઇ,150,280,360
03/01/2026,107411,grain,Tuver,તુવેર,280,950,1500
03/01/2026,107412,grain,Gram Yellow,ચણા પીળા,440,950,1145
03/01/2026,107413,grain,Gram White,ચણા સફેદ,360,1150,1980
03/01/2026,107414,grain,Urad,અડદ,300,870,1450
03/01/2026,107415,grain,Mung,મગ,700,1000,2050
03/01/2026,107416,grain,Val Deshi,વાલ દેશી,40,740,1070
03/01/2026,107417,grain,Choli,ચોળી,520,500,1075
03/01/2026,107418,grain,Math,મઠ,500,1150,1870
03/01/2026,107419,grain,Peas,વટાણા,16,300,1400
03/01/2026,107420,grain,Groundnut Big,મગફળી જાડી,0,1070,1360
03/01/2026,107421,grain,Groundnut Small,મગફળી જીણી,0,1120,1440
03/01/2026,107422,grain,Seasmum,તલી ,600,1715,2244
03/01/2026,107423,grain,Castor seed,એરંડા,290,1060,1261
03/01/2026,107424,grain,Thymol,અજમો,2,845,2300
03/01/2026,107425,grain,Dil Seed,સુવા,4,1471,1855
03/01/2026,107426,grain,Soyabin,સોયાબીન,800,881,946
03/01/2026,107427,grain,Groundnut-Fada,સીંગફાડા,1300,912,1517
03/01/2026,107428,grain,Sesmum-Black,કાળા તલ ,130,3500,4990
03/01/2026,107429,grain,Garlic,લસણ,900,1200,1800
03/01/2026,107430,grain,Corriander,ધાણા,160,1250,1970
03/01/2026,107431,grain,Chillies,મરચા સુકા ,140,1730,4360
03/01/2026,107432,grain,Dhani,ધાણી,70,1300,1990
03/01/2026,107433,grain,Variyali,વરીયાળી,80,1200,1600
03/01/2026,107434,grain,Cummin,જીરૂ,900,3751,4290
03/01/2026,107435,grain,Mustard,રાય,40,1640,1858
03/01/2026,107436,grain,Fenugreek,મેથી,100,780,1230
03/01/2026,107437,grain,Isabgul,ઇસબગુલ,20,1500,2300
03/01/2026,107438,grain,kalonji,કલોંજી,25,4100,4750
03/01/2026,107439,grain,Mustard seed,રાયડો,20,1000,1240
03/01/2026,107440,grain,Rajkoo Bee,રજકાનું બી ,1,5900,5900
03/01/2026,107441,grain,Guvar Bee,ગુવારનું બી,100,1000,1110
05/01/2026,107478,grain,Cotton B.T.,કપાસ બી.ટી.,3200,1350,1580
05/01/2026,107479,grain,Wheat Lokvan,ઘઉં લોકવન,60,503,540
05/01/2026,107480,grain,Wheat Tukda,ઘઉં ટુકડા,1360,506,592
05/01/2026,107481,grain,Jowar White,જુવાર સફેદ,80,870,1000
05/01/2026,107482,grain,Jowar Red,જુવાર લાલ,2,950,1010
05/01/2026,107483,grain,Bajri,બાજરી,100,325,401
05/01/2026,107484,grain,Maize,મકાઇ,5,280,380
05/01/2026,107485,grain,Tuver,તુવેર,320,960,1476
05/01/2026,107486,grain,Gram Yellow,ચણા પીળા,640,925,1125
05/01/2026,107487,grain,Gram White,ચણા સફેદ,600,1125,2007
05/01/2026,107488,grain,Urad,અડદ,340,860,1520
05/01/2026,107489,grain,Mung,મગ,600,1100,1950
05/01/2026,107490,grain,Val Deshi,વાલ દેશી,120,900,1450
05/01/2026,107491,grain,Choli,ચોળી,180,500,1650
05/01/2026,107492,grain,Math,મઠ,600,1140,1860
05/01/2026,107493,grain,Peas,વટાણા,40,500,1460
05/01/2026,107494,grain,Kulthi,કળથી,45,350,450
05/01/2026,107495,grain,Rajma,રાજમા,36,450,1500
05/01/2026,107496,grain,Groundnut Big,મગફળી જાડી,0,1080,1350
05/01/2026,107497,grain,Groundnut Small,મગફળી જીણી,0,1100,1430
05/01/2026,107498,grain,Seasmum,તલી ,900,1500,2121
05/01/2026,107499,grain,Castor seed,એરંડા,420,1050,1265
05/01/2026,107500,grain,Thymol,અજમો,3,1360,2000
05/01/2026,107501,grain,Dil Seed,સુવા,16,1310,1915
05/01/2026,107502,grain,Soyabin,સોયાબીન,1000,882,961
05/01/2026,107503,grain,Groundnut-Fada,સીંગફાડા,1800,1000,1607
05/01/2026,107504,grain,Sesmum-Black,કાળા તલ ,140,3400,4800
05/01/2026,107505,grain,Garlic,લસણ,500,1150,1750
05/01/2026,107506,grain,Corriander,ધાણા,85,1400,1920
05/01/2026,107507,grain,Chillies,મરચા સુકા ,180,1600,4400
05/01/2026,107508,grain,Dhani,ધાણી,82,1380,1960
05/01/2026,107509,grain,Variyali,વરીયાળી,15,1212,1761
05/01/2026,107510,grain,Cummin,જીરૂ,940,3801,4230
05/01/2026,107511,grain,Mustard,રાય,20,1230,1850
05/01/2026,107512,grain,Fenugreek,મેથી,300,1000,1470
05/01/2026,107513,grain,Isabgul,ઇસબગુલ,13,1500,2475
05/01/2026,107514,grain,Mustard seed,રાયડો,6,985,1230
05/01/2026,107515,grain,Rajkoo Bee,રજકાનું બી ,4,5000,9000
05/01/2026,107516,grain,Guvar Bee,ગુવારનું બી,30,1000,1135
06/01/2026,107553,grain,Cotton B.T.,કપાસ બી.ટી.,1700,1330,1575
06/01/2026,107554,grain,Wheat Lokvan,ઘઉં લોકવન,160,502,533
06/01/2026,107555,grain,Wheat Tukda,ઘઉં ટુકડા,1040,504,650
06/01/2026,107556,grain,Jowar White,જુવાર સફેદ,121,890,1015
06/01/2026,107557,grain,Jowar Red,જુવાર લાલ,9,800,1038
06/01/2026,107558,grain,Jowar Yellow,જુવાર પીળી ,35,240,500
06/01/2026,107559,grain,Bajri,બાજરી,16,350,430
06/01/2026,107560,grain,Tuver,તુવેર,270,970,1500
06/01/2026,107561,grain,Gram Yellow,ચણા પીળા,520,950,1123
06/01/2026,107562,grain,Gram White,ચણા સફેદ,620,1160,1970
06/01/2026,107563,grain,Urad,અડદ,380,870,1530
06/01/2026,107564,grain,Mung,મગ,680,1000,2000
06/01/2026,107565,grain,Val Deshi,વાલ દેશી,8,850,1035
06/01/2026,107566,grain,Choli,ચોળી,170,400,1590
06/01/2026,107567,grain,Math,મઠ,320,1050,1951
06/01/2026,107568,grain,Peas,વટાણા,80,400,1300
06/01/2026,107569,grain,Kulthi,કળથી,30,325,425
06/01/2026,107570,grain,Rajma,રાજમા,110,500,1622
06/01/2026,107571,grain,Groundnut Big,મગફળી જાડી,17000,1080,1355
06/01/2026,107572,grain,Groundnut Small,મગફળી જીણી,14000,1115,1425
06/01/2026,107573,grain,Linseed,અળશી,5,1700,1700
06/01/2026,107574,grain,Seasmum,તલી ,680,1700,2185
06/01/2026,107575,grain,Castor seed,એરંડા,280,1031,1254
06/01/2026,107576,grain,Thymol,અજમો,45,1000,1900
06/01/2026,107577,grain,Soyabin,સોયાબીન,900,885,990
06/01/2026,107578,grain,Groundnut-Fada,સીંગફાડા,1000,915,1608
06/01/2026,107579,grain,Sesmum-Black,કાળા તલ ,120,3220,5050
06/01/2026,107580,grain,Garlic,લસણ,800,1140,1615
06/01/2026,107581,grain,Corriander,ધાણા,120,1320,1951
06/01/2026,107582,grain,Chillies,મરચા સુકા ,103,1500,4400
06/01/2026,107583,grain,Dhani,ધાણી,100,1600,1975
06/01/2026,107584,grain,Variyali,વરીયાળી,20,1225,1710
06/01/2026,107585,grain,Cummin,જીરૂ,540,3811,4280
