date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate,month,year,avg_rate
2025-01-01,87411,grain,Cotton B.T.,કપાસ બી.ટી.,0.07173913043478261,1340,1500,1,2025,0.1269751693002257
2025-01-01,87412,grain,Wheat Lokvan,ઘઉં લોકવન,0.0032608695652173916,588,630,1,2025,0.050696012039127165
2025-01-01,87413,grain,Wheat Tukda,ઘઉં ટુકડા,0.016304347826086956,603,664,1,2025,0.05300037622272385
2025-01-01,87414,grain,Jowar White,જુવાર સફેદ,0.00891304347826087,750,853,1,2025,0.06880173062452972
2025-01-01,87415,grain,Jowar Yellow,જુવાર પીળી ,0.0007608695652173914,400,500,1,2025,0.03574115876598947
2025-01-01,87416,grain,Tuver,તુવેર,0.007608695652173913,1000,1725,1,2025,0.12156696764484574
2025-01-01,87417,grain,Gram Yellow,ચણા પીળા,0.006521739130434783,1000,1260,1,2025,0.09969902182091799
2025-01-01,87418,grain,Gram White,ચણા સફેદ,0.005434782608695653,1400,2620,1,2025,0.1824680210684725
2025-01-01,87419,grain,Urad,અડદ,0.009782608695652175,1050,1680,1,2025,0.12180210684725358
2025-01-01,87420,grain,Mung,મગ,0.007608695652173913,1425,1900,1,2025,0.14978367193378478
2025-01-01,87421,grain,Val Deshi,વાલ દેશી,0.00032608695652173916,1000,1350,1,2025,0.10393152746425884
2025-01-01,87422,grain,Choli,ચોળી,0.001956521739130435,1190,2366,1,2025,0.1606471030850263
2025-01-01,87423,grain,Math,મઠ,0.004891304347826087,750,1180,1,2025,0.0841798344620015
2025-01-01,87424,grain,Kulthi,કળથી,0.0006521739130434783,925,1025,1,2025,0.0851203912716328
2025-01-01,87425,grain,Groundnut Big,મગફળી જાડી,0.0,920,1190,1,2025,0.09264484574868322
2025-01-01,87426,grain,Groundnut Small,મગફળી જીણી,0.0,950,1240,1,2025,0.09640707298720842
2025-01-01,87427,grain,Seasmum,તલી ,0.014782608695652176,2080,2590,1,2025,0.2130361173814898
2025-01-01,87428,grain,Castor seed,એરંડા,0.0032608695652173916,1150,1222,1,2025,0.10496613995485327
2025-01-01,87429,grain,Thymol,અજમો,0.0002173913043478261,1381,2292,1,2025,0.16614936042136944
